id;name;acctcode
IGU1110001;[1110001] KAS;1110001
IGU1110002;[1110002] CASH CROSS ACCOUNT;1110002
IGU1110003;[1110003] KAS KECIL;1110003
IGU1120001;[1120001] BANK BNI Acc : 0019945931;1120001
IGU1120002;[1120002] CIMB NIAGA Acc : 2860100108007;1120002
IGU1120003;[1120003] BANK MANDIRI Acc : 1200001150783;1120003
IGU1120004;[1120004] BANK PERMATA Acc : 701014294;1120004
IGU1120005;[1120005] BANK BNI USD;1120005
IGU1120006;[1120006] OCBC NISP 391800000369;1120006
IGU1120007;[1120007] BANK WINDU Acc : 1000551771;1120007
IGU1120008;[1120008] Bank Permata 1701382129;1120008
IGU1120009;[1120009] Bank BCA Acc : 2303900705;1120009
IGU1120010;[1120010] Bank Windu Acc : 1001003891;1120010
IGU1120011;[1120011] Bank Mega;1120011
IGU1120012;[1120012] Bank Danamon;1120012
IGU1120013;[1120013] BANK BCA Acc: 2306030890;1120013
IGU1120014;[1120014] BANK BCA Acc: 2306030989;1120014
IGU1120015;[1120015] BANK BCA Acc: 4128899888;1120015
IGU1120016;[1120016] BANK BCA Acc: 4128888886;1120016
IGU1120017;[1120017] BANK BCA Acc: 2303060898;1120017
IGU1120018;[1120018] BANK BCA Acc: 2306030181;1120018
IGU1120019;[1120019] BANK BCA Acc: 2306030121;1120019
IGU1120020;[1120020] BANK BCA Acc: 2306030113;1120020
IGU1120021;[1120021] BANK BCA Acc: 2305000505;1120021
IGU1120022;[1120022] BANK BRI Acc: 020601009859305;1120022
IGU1120023;[1120023] BANK BCA Acc: 2307528700;1120023
IGU1120024;[1120024] BANK BCA Acc: 2307524500;1120024
IGU1120025;[1120025] BANK BCA Acc: 2307527100;1120025
IGU1120026;[1120026] BANK BCA Acc: 2307052900;1120026
IGU1125001;[1125001] BANK GARANSI;1125001
IGU1125002;[1125002] DEPOSITO;1125002
IGU1130001;[1130001] PIUTANG DAGANG;1130001
IGU1135001;[1135001] PIUTANG SEWA;1135001
IGU1135002;[1135002] PIUTANG PENGIRIMAN BARANG;1135002
IGU1135003;[1135003] PIUTANG PENITIPAN BARANG;1135003
IGU1135004;[1135004] PIUTANG LAIN LAIN;1135004
IGU1135005;[1135005] PIUTANG  HANDLING;1135005
IGU1136001;[1136001] PIUTANG PT SUPRA BOGA LESTARI;1136001
IGU1136002;[1136002] PIUTANG PT MATAHARI PUTRA PRIMA TBK;1136002
IGU1136003;[1136003] PIUTANG PT HERO SUPERMARKET TBK;1136003
IGU1136004;[1136004] PIUTANG PT GS RETAIL INDONESIA;1136004
IGU1136005;[1136005] PIUTANG PT HOKKY TE IT;1136005
IGU1136006;[1136006] PIUTANG PT HOKKY BERSAMA;1136006
IGU1136007;[1136007] PIUTANG PT MEGA MAHADANA;1136007
IGU1136008;[1136008] PIUTANG PT EMPORIUM;1136008
IGU1136009;[1136009] PIUTANG PT SWALAYAN SUKSES ABADI;1136009
IGU1136010;[1136010] PIUTANG PT KAGE DWIJAYA;1136010
IGU1136011;[1136011] PIUTANG PT ALFA RETAILINDO;1136011
IGU1136012;[1136012] PIUTANG RUMAH BUAH;1136012
IGU1136013;[1136013] PIUTANG RUMBU MEGAH;1136013
IGU1136014;[1136014] PIUTANG PT TRANS RETAIL INDONESIA;1136014
IGU1136015;[1136015] PIUTANG PT. LOTTE MART INDONESIA;1136015
IGU1136016;[1136016] PIUTANG PT. LOTTE SHOPPING INDONESIA;1136016
IGU1136017;[1136017] PIUTANG PT. GELAEL SUPERMARKET;1136017
IGU1136018;[1136018] PIUTANG PT LUCKY STRATEGIS;1136018
IGU1136019;[1136019] PIUTANG PT GRACIA MITRA SELARAS;1136019
IGU1136020;[1136020] PIUTANG PT FRESH ONE;1136020
IGU1136021;[1136021] PIUTANG PT MIDI UTAMA INDONESIA;1136021
IGU1136022;[1136022] PIUTANG PT LULU GROUP RETAIL;1136022
IGU1136023;[1136023] PIUTANG PT SUMBER AGRI SEHAT;1136023
IGU1136024;[1136024] PIUTANG PT CIPTA ANEKA SELERA;1136024
